product_id,product_name,category,price
1,Product1,Electronics,2493.45
2,Product2,Books,2284.49
3,Product3,Books,1481.98
4,Product4,Electronics,1035.57
5,Product5,Electronics,4695.3
6,Product6,Sports,3799.74
7,Product7,Sports,12.81
8,Product8,Books,4748.19
9,Product9,Sports,2376.65
10,Product10,Clothing,4676.44
11,Product11,Books,3354.77
12,Product12,Sports,4205.37
13,Product13,Books,2722.09
14,Product14,Home,2001.16
15,Product15,Books,2019.71
16,Product16,Sports,129.66
17,Product17,Books,4132.56
18,Product18,Clothing,394.81
19,Product19,Sports,463.4
20,Product20,Sports,2154.61
21,Product21,Electronics,3530.31
22,Product22,Electronics,4123.39
23,Product23,Books,739.4
24,Product24,Clothing,662.67
25,Product25,Clothing,2891.17
26,Product26,Electronics,403.41
27,Product27,Clothing,2060.94
28,Product28,Electronics,2389.32
29,Product29,Home,3881.76
30,Product30,Home,1987.15
31,Product31,Sports,1085.76
32,Product32,Clothing,4502.43
33,Product33,Sports,1360.04
34,Product34,Electronics,1053.2
35,Product35,Electronics,3215.61
36,Product36,Clothing,4591.15
37,Product37,Sports,1037.84
38,Product38,Clothing,1210.67
39,Product39,Electronics,739.33
40,Product40,Electronics,2047.47
41,Product41,Clothing,4699.02
42,Product42,Sports,2915.77
43,Product43,Home,1625.43
44,Product44,Electronics,3116.5
45,Product45,Electronics,2690.13
46,Product46,Home,15.12
47,Product47,Clothing,1798.32
48,Product48,Sports,1048.75
49,Product49,Sports,3352.03
50,Product50,Books,3712.2
51,Product51,Clothing,2841.68
52,Product52,Sports,766.07
53,Product53,Books,1998.92
54,Product54,Home,1860.53
55,Product55,Sports,2248.0
56,Product56,Home,2597.83
57,Product57,Electronics,950.66
58,Product58,Sports,1877.55
59,Product59,Electronics,3068.55
60,Product60,Sports,4534.67
61,Product61,Books,3288.96
62,Product62,Sports,2807.5
63,Product63,Electronics,2171.65
64,Product64,Clothing,1715.03
65,Product65,Books,3062.23
66,Product66,Home,3987.93
67,Product67,Sports,3011.32
68,Product68,Sports,1090.65
69,Product69,Electronics,1582.31
70,Product70,Books,2187.71
71,Product71,Books,3814.58
72,Product72,Home,3440.92
73,Product73,Electronics,4843.93
74,Product74,Home,2092.27
75,Product75,Sports,1077.58
76,Product76,Books,3278.02
77,Product77,Clothing,2720.5
78,Product78,Clothing,2112.13
79,Product79,Electronics,4774.43
80,Product80,Books,259.67
81,Product81,Clothing,117.28
82,Product82,Clothing,2716.23
83,Product83,Electronics,4759.28
84,Product84,Sports,3160.88
85,Product85,Books,4783.02
86,Product86,Clothing,1863.7
87,Product87,Books,3181.46
88,Product88,Electronics,3168.03
89,Product89,Clothing,4470.97
90,Product90,Books,1996.9
91,Product91,Electronics,2534.73
92,Product92,Sports,3393.75
93,Product93,Clothing,1013.89
94,Product94,Home,2405.37
95,Product95,Home,2352.16
96,Product96,Electronics,2233.71
97,Product97,Clothing,935.93
98,Product98,Sports,2806.74
99,Product99,Books,4459.45
100,Product100,Home,1169.33
101,Product101,Electronics,2336.76
102,Product102,Electronics,2590.83
103,Product103,Books,2278.84
104,Product104,Books,3338.48
105,Product105,Sports,2280.83
106,Product106,Electronics,3830.3
107,Product107,Sports,896.8
108,Product108,Sports,4965.53
109,Product109,Home,4855.93
110,Product110,Clothing,3320.17
111,Product111,Books,3548.11
112,Product112,Books,3622.93
113,Product113,Electronics,3590.51
114,Product114,Clothing,2563.24
115,Product115,Home,1397.14
116,Product116,Sports,1326.2
117,Product117,Electronics,2070.83
118,Product118,Home,407.66
119,Product119,Clothing,517.81
120,Product120,Sports,4479.04
121,Product121,Clothing,3760.33
122,Product122,Sports,3799.11
123,Product123,Books,571.71
124,Product124,Books,4308.5
125,Product125,Electronics,241.7
126,Product126,Clothing,2794.09
127,Product127,Books,676.23
128,Product128,Home,4137.65
129,Product129,Books,4803.17
130,Product130,Clothing,3409.11
131,Product131,Clothing,3376.45
132,Product132,Sports,4939.73
133,Product133,Electronics,407.12
134,Product134,Books,4696.21
135,Product135,Clothing,2832.42
136,Product136,Sports,4083.49
137,Product137,Sports,3618.7
138,Product138,Home,4939.44
139,Product139,Sports,4474.67
140,Product140,Home,3650.11
141,Product141,Sports,3720.05
142,Product142,Sports,4738.15
143,Product143,Electronics,2292.03
144,Product144,Electronics,2905.66
145,Product145,Electronics,2294.2
146,Product146,Home,1716.52
147,Product147,Books,4762.16
148,Product148,Electronics,2268.54
149,Product149,Electronics,2710.33
150,Product150,Home,207.29
151,Product151,Electronics,544.38
152,Product152,Books,2951.72
153,Product153,Sports,1974.63
154,Product154,Electronics,523.01
155,Product155,Electronics,3742.87
156,Product156,Electronics,4113.5
157,Product157,Sports,4441.19
158,Product158,Sports,1939.85
159,Product159,Home,3634.22
160,Product160,Books,4329.2
161,Product161,Clothing,365.22
162,Product162,Sports,157.0
163,Product163,Clothing,1597.99
164,Product164,Books,241.32
165,Product165,Books,219.01
166,Product166,Clothing,4817.73
167,Product167,Sports,3076.83
168,Product168,Clothing,4699.3
169,Product169,Sports,2812.79
170,Product170,Clothing,984.94
171,Product171,Books,881.82
172,Product172,Home,210.41
173,Product173,Sports,1217.56
174,Product174,Home,4094.34
175,Product175,Clothing,2929.88
176,Product176,Clothing,193.74
177,Product177,Books,3745.25
178,Product178,Electronics,4471.13
179,Product179,Sports,4422.71
180,Product180,Clothing,1939.88
181,Product181,Clothing,1346.2
182,Product182,Sports,909.11
183,Product183,Sports,458.45
184,Product184,Home,1706.21
185,Product185,Home,2385.47
186,Product186,Sports,4911.29
187,Product187,Home,625.37
188,Product188,Electronics,1508.09
189,Product189,Books,4338.88
190,Product190,Books,4222.46
191,Product191,Books,421.28
192,Product192,Sports,992.26
193,Product193,Books,3296.43
194,Product194,Home,18.75
195,Product195,Clothing,2794.03
196,Product196,Home,2406.32
197,Product197,Sports,4196.84
198,Product198,Books,2426.1
199,Product199,Sports,2601.8
200,Product200,Sports,946.55
201,Product201,Sports,4370.28
202,Product202,Sports,4126.24
203,Product203,Clothing,4488.47
204,Product204,Sports,602.26
205,Product205,Electronics,3875.41
206,Product206,Sports,1637.65
207,Product207,Electronics,249.67
208,Product208,Sports,4825.24
209,Product209,Sports,2514.32
210,Product210,Books,1295.44
211,Product211,Home,3973.44
212,Product212,Clothing,2724.1
213,Product213,Books,4658.31
214,Product214,Clothing,904.06
215,Product215,Home,3288.4
216,Product216,Sports,1701.29
217,Product217,Sports,734.46
218,Product218,Books,527.39
219,Product219,Home,504.26
220,Product220,Books,4180.32
221,Product221,Books,1408.15
222,Product222,Home,3769.35
223,Product223,Electronics,740.03
